ingredient_name,Zn,Na,Se,Potassium (K),Phosphorus (P),Manganese (Mn),Magnesium (Mg),Iron (Fe),Fluoride (F),Copper (Cu),Calcium (Ca),Vitamin K,Vitamin E,Vitamin D,Vitamin C,Vitamin B6,Vitamin B12,Vitamin A,Thiamin (B1),Ribofavin (B2),Pantothenic Acid (B5),Niacin (B3),Cholines,Saturated Fattyacid,Trans Fattyacid,Alcohol (ethyl),Fiber (F),Carb,Fats,Calories,Sugars,Cholestrols,Caffeines,Water (H2O),Ashes,Proteins,Purchase Cost,Purchase Amt,Price / Unit,Persian
Chicken (liver),2.670,71.000,54.600,230.000,297.000,255.000,19.000,8.990,0.000,492.000,8.000,0.000,0.700,0.000,17.900,853.000,16.580,"11,078.000",305.000,1.778,6.233,9.728,194.400,1.563,65.000,0.000,0.000,0.730,4.830,119.000,0.000,345.000,0.000,76.460,1.060,16.920,,,,مرغ (جگر)
Chicken Breast (Flour.Fried),1.100,76.000,23.900,259.000,233.000,26.000,30.000,1.190,0.000,57.000,16.000,0.000,0.000,0.000,0.000,580.000,0.340,50.000,82.000,131.000,1.001,13.742,60.000,2.450,14.000,0.000,0.100,1.640,8.870,222.000,0.000,89.000,0.000,56.590,1.060,31.840,,,,سینه مرغ (آرد سرخ شده)
Chicken Breast (Fried),1.080,79.000,26.200,276.000,246.000,21.000,31.000,1.140,0.000,54.000,16.000,2.400,0.420,0.100,0.000,640.000,0.370,23.000,79.000,125.000,1.040,14.782,95.900,1.290,8.000,0.000,0.000,0.510,4.710,187.000,0.000,91.000,0.000,60.210,1.140,33.440,,,,سینه مرغ (سرخ شده)
Chicken Breast (Grilled),0.820,215.000,42.400,420.000,249.000,11.000,31.000,0.430,0.000,34.000,6.000,0.000,0.330,0.000,0.000,984.000,0.200,32.000,79.000,227.000,1.485,11.067,107.700,1.012,13.000,0.000,0.000,0.000,3.390,148.000,0.000,106.000,0.000,66.540,1.680,29.500,,,,سینه مرغ (کبابی)
Chicken Breast (Raw),0.680,45.000,22.800,334.000,213.000,11.000,28.000,0.370,0.000,37.000,5.000,0.000,0.560,0.000,0.000,811.000,0.210,30.000,94.000,177.000,1.495,9.600,82.100,563.000,7.000,0.000,0.000,0.000,2.620,120.000,0.000,73.000,0.000,73.900,1.130,22.500,,,,سینه مرغ (خام)
Chicken Breast (Roasted),1.000,74.000,27.600,256.000,228.000,17.000,29.000,1.040,0.000,49.000,15.000,0.300,0.270,0.100,0.000,600.000,0.340,21.000,70.000,114.000,965.000,13.712,85.300,1.010,8.000,0.000,0.000,0.000,3.570,165.000,0.000,85.000,0.000,65.260,1.060,31.020,,,,سینه مرغ (برشته شده)
Chicken Breast (Stewed),0.970,63.000,22.300,187.000,165.000,18.000,24.000,0.880,0.000,43.000,13.000,0.200,0.270,0.100,0.000,330.000,0.230,19.000,42.000,119.000,573.000,8.469,78.500,850.000,13.000,0.000,0.000,0.000,3.030,151.000,0.000,77.000,0.000,68.270,0.910,28.980,,,,سینه مرغ (خورشتی)
Chicken Drumstick (Fried),3.220,96.000,29.600,249.000,186.000,21.000,24.000,1.320,0.000,80.000,12.000,0.000,0.000,0.000,0.000,390.000,0.350,61.000,77.000,236.000,1.320,6.146,70.000,2.130,30.000,0.000,0.000,0.000,8.080,195.000,0.000,94.000,0.000,62.240,1.060,28.920,,,,چوب مرغ (سرخ شده)
Chicken Drumstick (Raw),2.050,114.000,21.800,225.000,174.000,14.000,20.000,0.760,0.000,66.000,9.000,2.900,0.180,0.000,0.000,381.000,0.510,22.000,90.000,220.000,1.100,5.198,56.700,949.000,18.000,0.000,0.000,0.000,3.710,116.000,0.000,89.000,0.000,76.780,0.920,19.410,,,,چوب مرغ (خام)
Chicken Drumstick (Roasted),2.360,123.000,26.900,247.000,195.000,15.000,22.000,1.110,0.000,71.000,11.000,3.200,0.190,0.100,0.000,383.000,0.390,40.000,93.000,203.000,1.077,5.403,67.800,2.740,55.000,0.000,0.000,0.000,10.150,191.000,0.000,130.000,0.000,66.390,1.020,23.350,,,,چوب مرغ (برشته شده)
Chicken Drumstick (Stewed),2.540,117.000,27.900,239.000,184.000,18.000,22.000,0.940,0.000,63.000,12.000,0.200,0.170,0.100,0.000,372.000,0.410,24.000,88.000,180.000,1.100,5.046,72.000,1.601,30.000,0.000,0.000,0.000,5.950,149.000,0.000,132.000,0.000,69.940,0.980,23.930,,,,میله مرغ (خورشتی)
Chicken Drumstick(Flour.Fried),2.890,89.000,18.400,229.000,176.000,28.000,23.000,1.340,0.000,80.000,12.000,0.000,0.000,0.000,0.000,350.000,0.320,84.000,81.000,225.000,1.215,6.037,60.000,3.660,50.000,0.000,0.100,1.630,13.720,245.000,0.000,90.000,0.000,56.730,0.960,26.960,,,,چوب مرغ (آرد سرخ شده)
Chicken Leg (Stewed),2.780,78.000,26.500,190.000,149.000,19.000,21.000,1.400,0.000,77.000,11.000,3.600,0.270,0.100,0.000,210.000,0.000,60.000,59.000,216.000,913.000,4.798,69.700,2.200,0.000,0.000,0.000,0.000,8.060,185.000,0.000,89.000,0.000,66.440,0.880,26.260,,,,پای مرغ (خورشتی)
Chicken Thigh (Flour.Fried),2.520,88.000,19.900,237.000,187.000,36.000,25.000,1.490,0.000,89.000,14.000,0.000,0.000,0.000,0.000,330.000,0.300,98.000,94.000,243.000,1.185,6.946,60.000,4.090,91.000,0.000,0.100,3.180,14.980,262.000,0.000,97.000,0.000,54.140,0.940,26.750,,,,ران مرغ (آرد سرخ شده)
Chicken Thigh (Fried),2.790,95.000,20.500,259.000,199.000,27.000,26.000,1.460,0.000,90.000,13.000,0.000,0.000,0.200,0.000,380.000,0.330,70.000,88.000,255.000,1.285,7.120,60.000,2.780,0.000,0.000,0.000,1.180,10.300,218.000,0.000,102.000,0.000,59.130,1.040,28.180,,,,ران مرغ (سرخ شده)
Chicken Thigh (Grilled),2.100,120.000,30.000,320.000,190.000,20.000,26.000,0.800,0.000,60.000,4.000,0.000,0.000,0.000,0.000,600.000,0.200,0.700,70.000,300.000,1.500,8.000,100.000,3.000,80.000,0.000,0.000,0.000,9.000,180.000,0.000,114.000,0.000,65.000,1.500,24.000,,,,ران مرغ (کبابی)
Chicken Thigh (Raw),1.580,95.000,22.900,242.000,185.000,13.000,23.000,0.810,0.000,62.000,7.000,2.900,0.180,0.000,0.000,451.000,0.610,24.000,88.000,196.000,0.000,5.557,53.600,1.097,20.000,0.000,0.000,0.000,4.120,121.000,0.000,94.000,0.000,76.220,0.950,19.660,,,,ران مرغ (خام)
Chicken Thigh (Roasted),1.820,174.000,31.100,254.000,197.000,11.000,23.000,1.020,0.000,73.000,11.000,0.000,0.380,0.300,0.000,394.000,0.440,56.000,84.000,243.000,1.128,5.898,93.600,4.145,91.000,0.000,0.000,0.090,13.810,214.000,0.000,128.000,0.000,62.600,1.140,23.470,,,,ران مرغ (برشته شده)
Chicken Thigh (Stewed),2.580,75.000,17.100,183.000,149.000,20.000,21.000,1.420,0.000,77.000,11.000,3.600,0.270,0.100,0.000,210.000,0.210,62.000,63.000,218.000,874.000,5.200,67.300,2.710,0.000,0.000,0.000,0.000,9.790,195.000,0.000,90.000,0.000,65.590,0.860,25.000,,,,ران مرغ (خورشتی)
Chicken Wings (Flour.Fried),1.760,77.000,21.300,177.000,150.000,28.000,19.000,1.250,0.000,61.000,15.000,0.000,0.000,0.000,0.000,410.000,0.280,125.000,58.000,137.000,874.000,6.697,60.000,6.060,61.000,0.000,0.000,0.000,22.160,321.000,0.000,81.000,0.000,48.620,0.720,26.110,,,,بال مرغ (آرد سرخ شده)
Chicken Wings (Fried),2.120,91.000,25.400,208.000,164.000,16.000,21.000,1.140,0.000,53.000,15.000,0.000,0.000,0.100,0.000,590.000,0.340,61.000,46.000,128.000,989.000,7.239,60.000,2.500,61.000,0.000,0.000,0.000,9.150,211.000,0.000,84.000,0.000,59.830,0.870,30.150,,,,بال مرغ (سرخ شده)
Chicken Wings (Raw),1.210,84.000,17.600,187.000,123.000,11.000,16.000,0.460,0.000,34.000,11.000,0.000,0.640,0.100,0.000,528.000,0.250,29.000,54.000,103.000,640.000,5.697,82.000,3.535,61.000,0.000,0.000,0.000,12.850,191.000,0.000,111.000,0.000,69.190,0.740,17.520,,,,بال مرغ (خام)
Chicken Wings (Roasted),2.140,92.000,24.700,210.000,166.000,16.000,21.000,1.160,0.000,54.000,16.000,0.300,0.270,0.100,0.000,590.000,0.340,61.000,47.000,129.000,999.000,7.312,79.600,2.260,61.000,0.000,0.000,0.000,8.130,203.000,0.000,85.000,0.000,62.780,0.890,30.460,,,,بال مرغ (برشته شده)
Chicken Wings (Stewed),1.630,67.000,18.500,139.000,121.000,18.000,16.000,1.130,0.000,46.000,12.000,0.200,0.270,0.100,0.000,220.000,0.180,133.000,40.000,103.000,504.000,4.621,51.300,4.710,61.000,0.000,0.000,0.000,16.820,249.000,0.000,70.000,0.000,62.180,0.620,22.780,,,,بال مرغ (خورشتی)
Chickpeas (Garbanzo),2.760,24.000,0.000,718.000,252.000,21.306,79.000,4.310,0.000,656.000,57.000,9.000,0.820,0.000,4.000,535.000,0.000,67.000,477.000,212.000,1.588,1.541,99.300,603.000,0.000,0.000,12.200,62.950,6.040,378.000,10.700,0.000,0.000,7.680,2.850,20.470,,,,نخود (گاربانزو)
Chives,0.560,3.000,0.900,296.000,58.000,373.000,42.000,1.600,0.000,157.000,92.000,212.700,0.210,0.000,58.100,138.000,0.000,"4,353.000",78.000,115.000,324.000,647.000,5.200,146.000,0.000,0.000,2.500,4.350,0.730,30.000,1.850,9.000,0.000,90.650,1.000,3.270,,,,پیازچه
Cinammon (powder),1.830,10.000,3.100,431.000,64.000,17.466,60.000,8.320,0.000,339.000,"1,002.000",31.200,2.320,0.000,3.800,158.000,0.000,295.000,22.000,41.000,358.000,1.332,11.000,345.000,0.000,0.000,53.100,80.590,1.240,247.000,2.170,26.000,0.000,10.580,3.600,3.990,,,,دارچین (پودر)
Cinammon Stick,1.830,10.000,3.100,431.000,64.000,17.466,60.000,8.320,0.000,339.000,"1,002.000",31.200,2.320,0.000,3.800,158.000,0.000,295.000,22.000,41.000,358.000,1.332,11.000,345.000,0.000,0.000,53.100,80.590,1.240,247.000,2.170,26.000,0.000,10.580,3.600,3.990,,,,چوب دارچین
Citron,0.080,1.000,0.000,216.000,17.000,17.000,6.000,0.110,0.000,48.000,4.000,0.000,0.000,0.000,61.000,36.000,0.000,8.000,34.000,27.000,0.000,220.000,0.000,100.000,0.000,0.000,2.400,7.800,0.400,29.000,0.000,0.000,0.000,80.000,0.400,1.100,,,,سیترون
Clementine,0.060,1.000,0.100,177.000,21.000,23.000,10.000,0.140,0.000,43.000,30.000,0.000,0.200,0.000,48.800,75.000,0.000,0.000,86.000,30.000,151.000,636.000,14.000,0.000,0.000,0.000,1.700,12.020,0.150,47.000,9.180,0.000,0.000,86.580,0.400,0.850,,,,کلمانتین
Cloves (Whole),2.320,277.000,7.200,"1,020.000",104.000,60.127,259.000,11.830,0.000,368.000,632.000,141.800,8.820,0.000,0.200,391.000,0.000,160.000,158.000,220.000,509.000,1.560,37.400,3.952,254.000,0.000,33.900,65.530,13.000,274.000,2.380,256.000,0.000,9.870,5.630,5.970,,,,میخک (کل)
Cocoa (Powdered),6.810,21.000,14.300,"1,524.000",734.000,3.837,499.000,13.860,0.000,3.788,128.000,2.500,0.100,0.000,0.000,118.000,0.000,0.000,78.000,241.000,254.000,2.185,12.000,8.070,0.000,0.000,37.000,57.900,13.700,228.000,1.750,0.000,230.000,3.000,5.800,19.600,,,,کاکائو (پودر)
Coconut (Meat),1.100,20.000,10.100,356.000,113.000,1.500,32.000,2.430,0.000,435.000,14.000,0.200,0.240,0.000,3.300,54.000,0.000,0.000,66.000,20.000,300.000,540.000,12.100,29.698,0.000,0.000,9.000,15.230,33.490,354.000,6.230,47.000,0.000,46.990,0.970,3.330,,,,نارگیل (گوشت)
Coconut (Powdered),1.100,20.000,10.100,356.000,113.000,1.500,32.000,2.430,0.000,435.000,14.000,0.200,0.240,0.000,3.300,54.000,0.000,0.000,66.000,20.000,300.000,540.000,12.100,29.698,0.000,0.000,9.000,15.230,33.490,354.000,6.230,47.000,0.000,46.990,0.970,3.330,,,,نارگیل (پودر شده)
Coconut Milk,0.000,15.000,0.000,263.000,0.000,1.000,1.000,1.000,0.000,0.000,10.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.100,0.000,0.000,2.200,6.000,24.000,230.000,3.300,0.000,0.000,89.000,1.000,2.300,,,,شیر نارگیل
Cola,0.090,3.000,0.100,5.000,9.000,3.000,0.000,0.020,0.000,8.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.000,0.000,0.000,10.360,0.250,42.000,9.940,0.000,9.000,89.360,0.040,0.000,,,,کولا
Corn flour (white),1.730,5.000,15.400,315.000,272.000,460.000,93.000,2.380,0.000,230.000,7.000,0.300,0.420,0.000,0.000,370.000,0.000,214.000,246.000,80.000,658.000,1.900,21.600,543.000,0.000,0.000,7.300,76.850,3.860,361.000,0.640,0.000,0.000,10.910,1.450,6.930,,,,آرد ذرت (سفید)
Corn flour (yellow),1.730,5.000,15.400,315.000,272.000,460.000,93.000,2.380,0.000,230.000,7.000,0.300,0.420,0.000,0.000,370.000,0.000,214.000,246.000,80.000,658.000,1.900,21.600,543.000,0.000,0.000,7.300,76.850,3.860,361.000,0.640,0.000,0.000,10.910,1.450,6.930,,,,آرد ذرت (زرد)
Cosberg Lettuce,0.180,28.000,0.600,194.000,29.000,250.000,13.000,0.860,0.000,29.000,36.000,126.000,0.220,0.000,9.200,90.000,0.000,"7,405.000",70.000,80.000,134.000,375.000,13.600,20.000,0.000,0.000,1.300,2.870,0.150,15.000,0.780,38.000,0.000,94.980,0.620,1.360,,,,کاهو کازبرگ
Cranberries,0.090,2.000,0.100,80.000,11.000,267.000,6.000,0.230,0.000,56.000,8.000,5.000,1.320,0.000,14.000,57.000,0.000,63.000,12.000,20.000,295.000,101.000,5.500,8.000,0.000,0.000,3.600,11.970,0.130,46.000,4.270,0.000,0.000,87.320,0.120,0.460,,,,کرن بری
Cranberry Beans,3.630,6.000,12.700,"1,332.000",372.000,920.000,156.000,5.000,0.000,794.000,127.000,0.000,0.000,0.000,0.000,309.000,0.000,2.000,747.000,213.000,748.000,1.455,60.000,316.000,0.000,0.000,24.700,60.050,1.230,335.000,1.000,0.000,0.000,12.390,3.310,23.030,,,,دانه کرنبری
Cream.Powdered,0.070,124.000,0.000,669.000,288.000,11.000,1.000,0.260,112.000,18.000,2.000,1.700,1.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,117.000,0.000,2.300,19.146,5.541,0.000,0.000,59.290,32.920,529.000,7.770,32.000,0.000,2.980,2.340,2.480,,,,کرم.پودر شده
Cucumber,0.200,2.000,0.300,147.000,24.000,79.000,13.000,0.280,1.300,41.000,16.000,16.400,0.030,0.000,2.800,40.000,0.000,105.000,27.000,33.000,259.000,98.000,6.000,37.000,0.000,0.000,0.500,3.630,0.110,15.000,1.670,14.000,0.000,95.230,0.380,0.650,,,,خیار
Cumin.Seed,4.800,168.000,5.200,"1,788.000",499.000,3.333,366.000,66.360,0.000,867.000,931.000,5.400,3.330,0.000,7.700,435.000,0.000,"1,270.000",628.000,327.000,0.000,4.579,24.700,1.535,0.000,0.000,10.500,44.240,22.270,375.000,2.250,68.000,0.000,8.060,7.620,17.810,,,,زیره.دانه
Curry.Powder,4.700,52.000,40.300,"1,170.000",367.000,8.300,255.000,19.100,0.000,1.200,525.000,99.800,25.240,0.000,0.700,105.000,0.000,19.000,176.000,200.000,1.070,3.260,64.200,1.648,0.000,0.000,53.200,55.830,14.010,325.000,2.670,0.000,0.000,8.800,7.070,14.290,,,,کاری.پودر
Dark Chocolate,3.310,20.000,6.800,715.000,308.000,1.948,228.000,11.900,0.000,1.766,73.000,7.300,0.590,0.000,0.600,38.000,0.280,39.000,34.000,78.000,418.000,1.054,0.000,24.489,30.000,0.000,10.900,45.900,42.630,598.000,23.990,132.000,80.000,1.370,2.320,7.790,,,,شکلات تلخ
Dates (Medjool),0.440,1.000,0.000,696.000,62.000,296.000,54.000,0.900,0.000,362.000,64.000,2.700,0.000,0.000,0.000,249.000,0.000,149.000,50.000,60.000,805.000,1.610,9.900,0.000,0.000,0.000,6.700,74.970,0.150,277.000,66.470,0.000,0.000,21.320,1.740,1.810,,,,خرما (مجول)
DillWeed (Fresh),0.910,61.000,0.000,738.000,66.000,1.264,55.000,6.590,0.000,146.000,208.000,0.000,0.000,0.000,85.000,185.000,0.000,"7,718.000",58.000,296.000,397.000,1.570,1.000,60.000,0.000,0.000,2.100,7.020,1.120,43.000,0.000,0.000,0.000,85.950,2.450,3.460,,,,علف شوید (تازه)
DillWeed.Dried,3.300,208.000,0.000,"3,308.000",543.000,3.950,451.000,48.780,0.000,490.000,"1,784.000",0.000,0.000,0.000,50.000,1.710,0.000,"5,850.000",418.000,284.000,0.000,2.807,1.000,234.000,0.000,0.000,13.600,55.820,4.360,253.000,0.000,0.000,0.000,7.300,12.560,19.960,,,,علف شوید.خشک شده
Egg (Fried),1.390,207.000,33.100,152.000,215.000,30.000,13.000,1.890,1.200,78.000,62.000,5.600,1.310,2.200,0.000,184.000,0.970,787.000,44.000,495.000,1.660,82.000,317.100,4.323,41.000,0.000,0.000,0.830,14.840,196.000,0.400,401.000,0.000,69.470,1.260,13.610,,,,تخم مرغ (سرخ شده)
Egg (Hard Boild),1.050,124.000,30.800,126.000,172.000,26.000,10.000,1.190,4.800,13.000,50.000,0.300,1.030,2.200,0.000,121.000,1.110,520.000,66.000,513.000,1.398,64.000,293.800,3.267,0.000,0.000,0.000,1.120,10.610,155.000,1.120,373.000,0.000,74.620,1.080,12.580,,,,تخم مرغ (جوش سفت)
Egg (Poached),1.290,297.000,30.600,138.000,197.000,28.000,12.000,1.750,1.100,72.000,56.000,0.300,1.040,2.000,0.000,144.000,0.710,538.000,32.000,387.000,1.527,63.000,234.100,3.113,38.000,0.000,0.000,0.710,9.470,143.000,0.370,370.000,0.000,75.850,1.460,12.510,,,,تخم مرغ (پاک شده)
Egg (Raw),1.290,142.000,30.700,138.000,198.000,28.000,12.000,1.750,1.100,72.000,56.000,0.300,1.050,2.000,0.000,170.000,0.890,540.000,40.000,457.000,1.533,75.000,293.800,3.126,0.010,0.000,0.000,0.720,9.510,143.000,0.370,372.000,0.000,76.150,1.060,12.560,"5,000",50,100,تخم مرغ (خام)
Egg (Scrambled),1.040,145.000,23.500,132.000,165.000,22.000,11.000,1.310,0.800,59.000,66.000,4.000,1.150,1.800,0.000,134.000,0.760,578.000,40.000,376.000,1.217,76.000,221.000,3.331,624.000,0.000,0.000,1.610,10.980,149.000,1.390,287.000,0.000,76.400,1.010,9.990,,,,تخم مرغ (هم زده)
Egg (Soft-Boiled),1.080,180.000,30.000,110.000,172.000,26.000,10.000,1.190,4.800,13.000,50.000,0.300,1.030,2.200,0.000,121.000,1.110,520.000,66.000,513.000,1.398,64.000,293.800,0.000,0.000,0.000,0.000,0.000,8.000,136.000,0.000,398.000,0.000,75.000,1.100,10.000,,,,تخم مرغ (نرم پز)
Egg White (raw),0.030,166.000,20.000,163.000,15.000,11.000,11.000,0.080,0.000,23.000,7.000,0.000,0.000,0.000,0.000,5.000,0.090,0.000,4.000,439.000,190.000,105.000,1.100,0.000,0.000,0.000,0.000,0.730,0.170,52.000,0.710,0.000,0.000,87.570,0.630,10.900,,,,سفیده تخم مرغ (خام)
Egg Yolk (raw),2.300,48.000,56.000,109.000,390.000,55.000,5.000,2.730,0.000,77.000,129.000,0.700,2.580,5.400,0.000,350.000,1.950,"1,442.000",176.000,528.000,2.990,24.000,820.200,9.551,0.000,0.000,0.000,3.590,26.540,322.000,0.560,"1,085.000",0.000,52.310,1.710,15.860,,,,زرده تخم مرغ (خام)
Eggplant,0.160,2.000,0.300,229.000,24.000,232.000,14.000,0.230,0.000,81.000,9.000,3.500,0.300,0.000,2.200,84.000,0.000,23.000,39.000,37.000,281.000,649.000,6.900,34.000,0.000,0.000,3.000,5.880,0.180,25.000,3.530,7.000,0.000,92.300,0.660,0.980,,,,بادمجان
EnergyDrink.RedBull,0.010,39.000,0.200,3.000,0.000,5.000,19.000,0.060,0.000,2.000,6.000,0.000,0.000,0.000,0.000,2.167,1.970,0.000,40.000,103.000,1.540,9.827,0.300,0.000,0.000,0.000,0.000,10.230,0.000,43.000,10.220,0.000,29.000,89.220,0.100,0.460,,,,EnergyDrink.RedBull
Espresso.Decaf,0.050,14.000,0.000,115.000,7.000,50.000,80.000,0.130,0.000,50.000,2.000,0.100,0.000,0.000,0.200,2.000,0.000,0.000,1.000,177.000,28.000,5.207,1.000,92.000,0.000,0.000,0.000,1.690,0.180,9.000,0.000,0.000,1.000,97.800,0.230,0.100,,,,اسپرسو.بدون کافئین
Espresso.Regular,0.050,14.000,0.000,115.000,7.000,50.000,80.000,0.130,0.000,50.000,2.000,0.100,0.010,0.000,0.200,2.000,0.000,0.000,1.000,177.000,28.000,5.207,2.600,92.000,0.000,0.000,0.000,1.670,0.180,9.000,0.000,0.000,212.000,97.800,0.230,0.120,,,,اسپرسو.معمول
Fava Beans (Green.no-pod),3.140,13.000,8.200,"1,062.000",421.000,1.626,192.000,6.700,0.000,824.000,103.000,9.000,0.050,0.000,1.400,366.000,0.000,53.000,555.000,333.000,976.000,2.832,95.800,254.000,0.000,0.000,25.000,58.290,1.530,341.000,5.700,124.000,0.000,10.980,3.080,26.120,,,,لوبیا فاوا (Green.no-pod)
Figs,0.150,1.000,0.200,232.000,14.000,128.000,17.000,0.370,0.000,70.000,35.000,4.700,0.110,0.000,2.000,113.000,0.000,142.000,60.000,50.000,300.000,400.000,4.700,60.000,0.000,0.000,2.900,19.180,0.300,74.000,16.260,31.000,0.000,79.110,0.660,0.750,,,,انجیر
Garlic,1.160,17.000,14.200,401.000,153.000,1.672,25.000,1.700,0.000,299.000,181.000,1.700,0.080,0.000,31.200,1.235,0.000,9.000,200.000,110.000,596.000,700.000,23.200,89.000,0.000,0.000,2.100,33.060,0.500,149.000,1.000,0.000,0.000,58.580,1.500,6.360,,,,سیر
Garlic Powder,2.990,60.000,23.900,"1,193.000",414.000,979.000,77.000,5.650,0.000,533.000,79.000,0.400,0.670,0.000,1.200,1.654,0.000,0.000,435.000,141.000,743.000,796.000,67.500,249.000,0.000,0.000,9.000,72.730,0.730,331.000,2.430,8.000,0.000,6.450,3.540,16.550,,,,پودر سیر
Ginger (Root),0.340,13.000,0.700,415.000,34.000,229.000,43.000,0.600,0.000,226.000,16.000,0.100,0.260,0.000,5.000,160.000,0.000,0.000,25.000,34.000,203.000,750.000,28.800,203.000,0.000,0.000,2.000,17.770,0.750,80.000,1.700,15.000,0.000,78.890,0.770,1.820,,,,زنجبیل (ریشه)
Ginger.Ground,3.640,27.000,55.800,"1,320.000",168.000,33.300,214.000,19.800,0.000,480.000,114.000,0.800,0.000,0.000,0.700,626.000,0.000,30.000,46.000,170.000,477.000,9.620,41.200,2.599,0.000,0.000,14.100,71.620,4.240,335.000,3.390,83.000,0.000,9.940,5.220,8.980,,,,زنجبیل.زمین
Grapefruit,0.070,0.000,0.300,139.000,8.000,12.000,8.000,0.090,1.000,47.000,12.000,0.000,0.130,0.000,34.400,42.000,0.000,927.000,36.000,20.000,283.000,250.000,7.700,14.000,0.000,0.000,1.100,8.080,0.100,32.000,6.980,0.000,0.000,90.890,0.310,0.630,,,,گریپ فروت
Green Beans,0.240,6.000,0.600,211.000,38.000,216.000,25.000,1.030,19.000,69.000,37.000,43.000,0.410,0.000,12.200,141.000,0.000,690.000,82.000,104.000,225.000,734.000,15.300,50.000,0.000,0.000,2.700,6.970,0.220,31.000,3.260,0.000,0.000,90.320,0.660,1.830,,,,لوبیا سبز
Green Cabbage,0.180,18.000,0.300,170.000,26.000,160.000,12.000,0.470,1.000,19.000,40.000,76.000,0.150,0.000,36.600,124.000,0.000,98.000,61.000,40.000,212.000,234.000,10.700,34.000,0.000,0.000,2.500,5.800,0.100,25.000,3.200,11.000,0.000,92.180,0.640,1.280,,,,کلم سبز
Green Tea,0.010,1.000,0.000,8.000,0.000,184.000,1.000,0.020,0.000,4.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,7.000,58.000,0.000,30.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,12.000,99.930,0.000,0.220,,,,چای سبز
Half & Half.Cream.Fluid,0.390,61.000,3.200,132.000,95.000,5.000,10.000,0.050,3.000,9.000,107.000,1.300,0.250,0.000,0.900,50.000,0.190,354.000,30.000,194.000,539.000,109.000,18.700,7.032,464.000,0.000,0.000,4.300,11.500,131.000,4.130,35.000,0.000,80.570,0.510,3.130,,,,Half & Half.Cream.Fluid
Hazelnuts,2.450,0.000,2.400,680.000,290.000,6.175,163.000,4.700,0.000,1.725,114.000,14.200,15.030,0.000,6.300,563.000,0.000,20.000,643.000,113.000,918.000,1.800,45.600,4.464,0.000,0.000,9.700,16.700,60.750,628.000,4.340,110.000,0.000,5.310,2.290,14.950,,,,فندق
Heavy Cream,0.240,27.000,3.000,95.000,58.000,6.000,7.000,0.100,3.000,11.000,66.000,3.200,0.920,1.600,0.600,35.000,0.160,"1,470.000",20.000,188.000,495.000,64.000,16.800,23.032,1.236,0.000,0.000,2.840,36.080,340.000,2.920,113.000,0.000,57.710,0.530,2.840,,,,کرم سنگین
Herbals.Brewed,0.040,1.000,0.000,9.000,0.000,44.000,1.000,0.080,0.000,15.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.000,4.000,11.000,0.000,0.400,2.000,0.000,0.000,0.000,0.200,0.000,1.000,0.000,0.000,0.000,99.700,0.000,0.000,,,,گیاهان دارویی.دم کرده
Honey,0.220,4.000,0.800,52.000,4.000,80.000,2.000,0.420,7.000,36.000,6.000,0.000,0.000,0.000,0.500,24.000,0.000,0.000,0.000,38.000,68.000,121.000,2.200,0.000,0.000,0.000,0.200,82.400,0.000,304.000,82.120,0.000,0.000,17.100,0.200,0.300,,,,عزیزم
Iceberg Lettuce,0.150,10.000,0.100,141.000,20.000,125.000,7.000,0.410,0.000,25.000,18.000,24.100,0.180,0.000,2.800,42.000,0.000,502.000,41.000,25.000,91.000,123.000,6.700,18.000,0.000,0.000,1.200,2.970,0.140,14.000,1.970,10.000,0.000,95.640,0.360,0.900,,,,کاهو یخ
InstantCoffee.Powdered,0.350,37.000,12.600,"3,535.000",303.000,1.712,327.000,4.410,0.000,139.000,141.000,1.900,0.000,0.000,0.000,29.000,0.000,0.000,8.000,74.000,97.000,28.173,101.900,197.000,0.000,0.000,0.000,75.400,0.500,353.000,0.000,0.000,"3,142.000",3.100,8.800,12.200,,,,قهوه فوری.پودر شده
Iranian Cheese,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,15.750,201.000,4.200,0.000,0.000,1.000,1.000,1.000,,,,پنیر ایرانی
Jam & Preserves,0.060,32.000,2.000,77.000,19.000,40.000,4.000,0.490,19.000,100.000,20.000,0.000,0.120,0.000,8.800,20.000,0.000,0.000,16.000,76.000,20.000,36.000,10.200,10.000,0.000,0.000,1.100,68.860,0.070,278.000,48.500,12.000,0.000,30.470,0.230,0.370,,,,مربا و کنسرو
